Date,Site,Country,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate
11/9/24,vanguardh5.site,Switzerland,"1,952",51,2.61%,105.14,53.86,"2,137",97.57%
11/9/24,vanguardh5.site,United Arab Emirates,6,1,16.67%,0.02,3.59,8,100.00%
11/9/24,vanguardh5.site,Turkiye,3,0,0.00%,0.00,0.55,4,100.00%
11/9/24,vanguardh5.site,Ukraine,11,1,9.09%,0.11,10.13,14,100.00%
11/9/24,vanguardh5.site,United Kingdom,"4,619",106,2.29%,111.58,24.16,"5,099",96.84%
11/9/24,vanguardh5.site,United States,"4,394",117,2.66%,184.65,42.02,"6,649",87.05%
11/9/24,vanguardh5.site,Venezuela,3,0,0.00%,0.00,1.21,4,100.00%
11/10/24,cloudgaminghub.site,N/A,109,6,5.50%,0.21,1.91,154,79.87%
11/10/24,cloudgaminghub.site,Australia,"3,033",66,2.18%,88.70,29.24,"3,877",94.30%
11/10/24,cloudgaminghub.site,Bolivia,3,0,0.00%,0.00,1.21,5,80.00%
11/10/24,cloudgaminghub.site,Brazil,"3,398",63,1.85%,13.57,3.99,"4,290",93.68%
11/10/24,cloudgaminghub.site,Canada,"2,524",60,2.38%,85.24,33.77,"3,974",89.93%
11/10/24,cloudgaminghub.site,Finland,495,11,2.22%,13.04,26.35,568,99.30%
11/10/24,cloudgaminghub.site,France,"3,339",78,2.34%,85.13,25.50,"4,881",90.66%
11/10/24,cloudgaminghub.site,French Guiana,3,0,0.00%,0.01,2.90,5,100.00%
11/10/24,cloudgaminghub.site,Germany,"1,261",32,2.54%,79.19,62.80,"1,880",92.93%
11/10/24,cloudgaminghub.site,Greece,"1,723",40,2.32%,16.38,9.51,"2,199",90.40%
11/10/24,cloudgaminghub.site,India,6,0,0.00%,0.00,0.34,7,85.71%
11/10/24,cloudgaminghub.site,Iraq,6,0,0.00%,0.01,0.88,12,91.67%
11/10/24,cloudgaminghub.site,Italy,"3,828",83,2.17%,56.99,14.89,"5,304",89.37%
11/10/24,cloudgaminghub.site,Jamaica,5,1,20.00%,0.04,7.36,5,100.00%
11/10/24,cloudgaminghub.site,Japan,9,0,0.00%,0.19,20.76,9,100.00%
11/10/24,cloudgaminghub.site,Malaysia,4,0,0.00%,0.00,0.98,5,100.00%
11/10/24,cloudgaminghub.site,Netherlands,"7,183",182,2.53%,267.92,37.30,"10,613",82.36%
11/10/24,cloudgaminghub.site,Qatar,3,0,0.00%,0.01,1.70,5,80.00%
11/10/24,cloudgaminghub.site,Singapore,"6,172",126,2.04%,100.38,16.26,"9,288",85.23%
11/10/24,cloudgaminghub.site,Switzerland,916,20,2.18%,47.65,52.01,"1,271",93.86%
